,name,pos,team,url
113,Jason Sanders,K,MIA,https://www.fantasypros.com/nfl/games/jason-sanders.php
114,George Kittle,TE,SF,https://www.fantasypros.com/nfl/games/george-kittle.php
115,Stephen Gostkowski,K,NE,https://www.fantasypros.com/nfl/games/stephen-gostkowski.php
117,Ben Roethlisberger,QB,PIT,https://www.fantasypros.com/nfl/games/ben-roethlisberger.php
118,Ka'imi Fairbairn,K,HOU,https://www.fantasypros.com/nfl/games/kaimi-fairbairn.php
119,Matt Ryan,QB,ATL,https://www.fantasypros.com/nfl/games/matt-ryan.php
120,Dak Prescott,QB,DAL,https://www.fantasypros.com/nfl/games/dak-prescott.php
121,Mike Williams,WR,LAC,https://www.fantasypros.com/nfl/games/mike-williams.php
122,Matthew Stafford,QB,DET,https://www.fantasypros.com/nfl/games/matthew-stafford.php
123,Matt Bryant,K,ATL,https://www.fantasypros.com/nfl/games/matt-bryant.php
124,Mike Nugent,K,OAK,https://www.fantasypros.com/nfl/games/mike-nugent.php
125,Josh Lambo,K,JAC,https://www.fantasypros.com/nfl/games/josh-lambo.php
127,Jalen Richard,RB,OAK,https://www.fantasypros.com/nfl/games/jalen-richard.php
128,Josh Gordon,WR,NE,https://www.fantasypros.com/nfl/games/josh-gordon.php
129,Larry Fitzgerald,WR,ARI,https://www.fantasypros.com/nfl/games/larry-fitzgerald.php
130,Christian McCaffrey,RB,CAR,https://www.fantasypros.com/nfl/games/christian-mccaffrey.php
131,Dalvin Cook,RB,MIN,https://www.fantasypros.com/nfl/games/dalvin-cook.php
132,Cole Beasley,WR,DAL,https://www.fantasypros.com/nfl/games/cole-beasley.php
133,Eli Manning,QB,NYG,https://www.fantasypros.com/nfl/games/eli-manning.php
134,Royce Freeman,RB,DEN,https://www.fantasypros.com/nfl/games/royce-freeman.php
135,DeAndre Hopkins,WR,HOU,https://www.fantasypros.com/nfl/games/deandre-hopkins.php
136,Kyle Rudolph,TE,MIN,https://www.fantasypros.com/nfl/games/kyle-rudolph.php
138,Daniel Carlson,K,OAK,https://www.fantasypros.com/nfl/games/daniel-carlson.php
139,Mason Crosby,K,GB,https://www.fantasypros.com/nfl/games/mason-crosby.php
140,Caleb Sturgis,K,FA,https://www.fantasypros.com/nfl/games/caleb-sturgis.php
144,Peyton Barber,RB,TB,https://www.fantasypros.com/nfl/games/peyton-barber.php
145,Rex Burkhead,RB,NE,https://www.fantasypros.com/nfl/games/rex-burkhead.php
146,Tyrell Williams,WR,LAC,https://www.fantasypros.com/nfl/games/tyrell-williams.php
147,Kenyan Drake,RB,MIA,https://www.fantasypros.com/nfl/games/kenyan-drake.php
148,Bilal Powell,RB,NYJ,https://www.fantasypros.com/nfl/games/bilal-powell.php
149,John Ross,WR,CIN,https://www.fantasypros.com/nfl/games/john-ross.php
150,Derek Carr,QB,OAK,https://www.fantasypros.com/nfl/games/derek-carr.php
151,Corey Davis,WR,TEN,https://www.fantasypros.com/nfl/games/corey-davis.php
152,Alex Armah,RB,CAR,https://www.fantasypros.com/nfl/games/alex-armah.php
153,Frank Gore,RB,MIA,https://www.fantasypros.com/nfl/games/frank-gore.php
154,Jordan Wilkins,RB,IND,https://www.fantasypros.com/nfl/games/jordan-wilkins.php
155,De'Anthony Thomas,WR,KC,https://www.fantasypros.com/nfl/games/deanthony-thomas.php
156,Allen Robinson,WR,CHI,https://www.fantasypros.com/nfl/games/allen-robinson.php
157,Jesse James,TE,PIT,https://www.fantasypros.com/nfl/games/jesse-james.php
159,Dustin Hopkins,K,WAS,https://www.fantasypros.com/nfl/games/dustin-hopkins.php
160,Sebastian Janikowski,K,SEA,https://www.fantasypros.com/nfl/games/sebastian-janikowski.php
163,Wil Lutz,K,NO,https://www.fantasypros.com/nfl/games/wil-lutz.php
165,Chris Carson,RB,SEA,https://www.fantasypros.com/nfl/games/chris-carson.php
166,Ryan Grant,WR,IND,https://www.fantasypros.com/nfl/games/ryan-grant-wr.php
167,Alex Collins,RB,BAL,https://www.fantasypros.com/nfl/games/alex-collins.php
168,Kyle Juszczyk,RB,SF,https://www.fantasypros.com/nfl/games/kyle-juszczyk.php
169,Josh Allen,QB,BUF,https://www.fantasypros.com/nfl/games/josh-allen-qb.php
170,Leonard Fournette,RB,JAC,https://www.fantasypros.com/nfl/games/leonard-fournette.php
171,Nelson Agholor,WR,PHI,https://www.fantasypros.com/nfl/games/nelson-agholor.php
172,O.J. Howard,TE,TB,https://www.fantasypros.com/nfl/games/oj-howard.php
173,Keelan Cole,WR,JAC,https://www.fantasypros.com/nfl/games/keelan-cole.php
174,Marvin Jones,WR,DET,https://www.fantasypros.com/nfl/games/marvin-jones.php
175,Delanie Walker,TE,TEN,https://www.fantasypros.com/nfl/games/delanie-walker.php
176,Nyheim Hines,RB,IND,https://www.fantasypros.com/nfl/games/nyheim-hines.php
177,Matt Breida,RB,SF,https://www.fantasypros.com/nfl/games/matt-breida.php
178,Dede Westbrook,WR,JAC,https://www.fantasypros.com/nfl/games/dede-westbrook.php
179,Matt Prater,K,DET,https://www.fantasypros.com/nfl/games/matt-prater.php
182,Devonta Freeman,RB,ATL,https://www.fantasypros.com/nfl/games/devonta-freeman.php
185,Kareem Hunt,RB,KC,https://www.fantasypros.com/nfl/games/kareem-hunt.php
186,Terrelle Pryor,WR,FA,https://www.fantasypros.com/nfl/games/terrelle-pryor.php
187,Lamar Jackson,QB,BAL,https://www.fantasypros.com/nfl/games/lamar-jackson.php
188,Sterling Shepard,WR,NYG,https://www.fantasypros.com/nfl/games/sterling-shepard.php
189,Chase Edmonds,RB,ARI,https://www.fantasypros.com/nfl/games/chase-edmonds.php
190,Zach Ertz,TE,PHI,https://www.fantasypros.com/nfl/games/zach-ertz.php
191,Jamaal Williams,RB,GB,https://www.fantasypros.com/nfl/games/jamaal-williams.php
192,Courtland Sutton,WR,DEN,https://www.fantasypros.com/nfl/games/courtland-sutton.php
193,Tyler Eifert,TE,CIN,https://www.fantasypros.com/nfl/games/tyler-eifert.php
194,Benjamin Watson,TE,NO,https://www.fantasypros.com/nfl/games/benjamin-watson.php
195,Rashaad Penny,RB,SEA,https://www.fantasypros.com/nfl/games/rashaad-penny.php
196,Robert Woods,WR,LAR,https://www.fantasypros.com/nfl/games/robert-woods.php
197,Latavius Murray,RB,MIN,https://www.fantasypros.com/nfl/games/latavius-murray.php
198,Nick Foles,QB,PHI,https://www.fantasypros.com/nfl/games/nick-foles.php
199,Tarik Cohen,RB,CHI,https://www.fantasypros.com/nfl/games/tarik-cohen.php
200,Devin Funchess,WR,CAR,https://www.fantasypros.com/nfl/games/devin-funchess.php
201,Spencer Ware,RB,KC,https://www.fantasypros.com/nfl/games/spencer-ware.php
202,Graham Gano,K,CAR,https://www.fantasypros.com/nfl/games/graham-gano.php
203,Jake Elliott,K,PHI,https://www.fantasypros.com/nfl/games/jake-elliott.php
204,Nick Boyle,TE,BAL,https://www.fantasypros.com/nfl/games/nick-boyle.php
206,Jack Doyle,TE,IND,https://www.fantasypros.com/nfl/games/jack-doyle.php
207,Albert Wilson,WR,MIA,https://www.fantasypros.com/nfl/games/albert-wilson.php
208,Jakeem Grant,WR,MIA,https://www.fantasypros.com/nfl/games/jakeem-grant.php
209,Rashard Higgins,WR,CLE,https://www.fantasypros.com/nfl/games/rashard-higgins.php
210,Luke Stocker,TE,TEN,https://www.fantasypros.com/nfl/games/luke-stocker.php
211,Kerryon Johnson,RB,DET,https://www.fantasypros.com/nfl/games/kerryon-johnson.php
212,Antonio Gates,TE,LAC,https://www.fantasypros.com/nfl/games/antonio-gates.php
213,Theo Riddick,RB,DET,https://www.fantasypros.com/nfl/games/theo-riddick.php
214,C.J. Anderson,RB,FA,https://www.fantasypros.com/nfl/games/cj-anderson.php
215,Greg Olsen,TE,CAR,https://www.fantasypros.com/nfl/games/greg-olsen.php
216,Maxx Williams,TE,BAL,https://www.fantasypros.com/nfl/games/maxx-williams.php
217,Jamison Crowder,WR,WAS,https://www.fantasypros.com/nfl/games/jamison-crowder.php
218,Darren Sproles,RB,PHI,https://www.fantasypros.com/nfl/games/darren-sproles.php
219,Marcus Murphy,RB,BUF,https://www.fantasypros.com/nfl/games/marcus-murphy.php
220,Jeremy Hill,RB,NE,https://www.fantasypros.com/nfl/games/jeremy-hill.php
221,Derrick Henry,RB,TEN,https://www.fantasypros.com/nfl/games/derrick-henry.php
222,Mark Andrews,TE,BAL,https://www.fantasypros.com/nfl/games/mark-andrews.php
223,Zane Gonzalez,K,FA,https://www.fantasypros.com/nfl/games/zane-gonzalez.php
224,Steven Hauschka,K,BUF,https://www.fantasypros.com/nfl/games/steven-hauschka.php
225,Chris Boswell,K,PIT,https://www.fantasypros.com/nfl/games/chris-boswell.php
226,Jake Butt,TE,DEN,https://www.fantasypros.com/nfl/games/jake-butt.php
227,Trent Taylor,WR,SF,https://www.fantasypros.com/nfl/games/trent-taylor.php
228,Sam Bradford,QB,FA,https://www.fantasypros.com/nfl/games/sam-bradford.php
229,Ty Montgomery,RB,BAL,https://www.fantasypros.com/nfl/games/ty-montgomery.php
230,Blaine Gabbert,QB,TEN,https://www.fantasypros.com/nfl/games/blaine-gabbert.php
231,Neal Sterling,TE,NYJ,https://www.fantasypros.com/nfl/games/neal-sterling.php
232,Adam Humphries,WR,TB,https://www.fantasypros.com/nfl/games/adam-humphries.php
233,Deonte Thompson,WR,BUF,https://www.fantasypros.com/nfl/games/deonte-thompson.php
234,Zay Jones,WR,BUF,https://www.fantasypros.com/nfl/games/zay-jones.php
235,Danny Amendola,WR,MIA,https://www.fantasypros.com/nfl/games/danny-amendola.php
236,Tyler Boyd,WR,CIN,https://www.fantasypros.com/nfl/games/tyler-boyd.php
237,Corey Clement,RB,PHI,https://www.fantasypros.com/nfl/games/corey-clement.php
238,Austin Seferian-Jenkins,TE,JAC,https://www.fantasypros.com/nfl/games/austin-seferian-jenkins.php
239,Taylor Gabriel,WR,CHI,https://www.fantasypros.com/nfl/games/taylor-gabriel.php
240,Duke Johnson,RB,CLE,https://www.fantasypros.com/nfl/games/duke-johnson.php
241,Austin Hooper,TE,ATL,https://www.fantasypros.com/nfl/games/austin-hooper.php
242,Logan Thomas,TE,BUF,https://www.fantasypros.com/nfl/games/logan-thomas.php
